,result,result,result,result,result,result,result,result,result,result,result,result,time_to_complete,time_to_complete,time_to_complete,time_to_complete,time_to_complete,time_to_complete,time_to_complete,time_to_complete,time_to_complete,time_to_complete,time_to_complete,time_to_complete,status,num_questions_right,passed,quiz_questions
23,True,,True,,False,True,True,,True,,True,True,,,,,,,,,,,,,accepted_invitation,7.0,True,"['family_reunion', 'business_meeting', 'adoption', 'sports_team', 'game_night', 'massage_therapist', 'spilled_milk', 'extracurricular_activities']"
24,,,True,True,True,True,True,,True,True,,False,,,,,,,,,,,,,accepted_invitation,7.0,True,"['business_meeting', 'family_reunion', 'sports_team', 'extracurricular_activities', 'massage_therapist', 'conference_swag', 'negotiations', 'game_night']"
25,,True,True,True,,True,True,True,True,,True,,,,,,,,,,,,,,rejected_at_logic_evaluation,8.0,True,"['hackday', 'business_meeting', 'family_reunion', 'book_club', 'spilled_milk', 'massage_therapist', 'game_night', 'conference_swag']"
26,True,True,True,,True,False,True,,True,,,True,,,,,,,,,,,,,rejected_at_logic_evaluation,7.0,True,"['game_night', 'family_reunion', 'massage_therapist', 'business_meeting', 'extracurricular_activities', 'adoption', 'sports_team', 'book_club']"
27,True,True,,False,,,True,,True,True,True,False,,,,,,,,,,,,,accepted_invitation,6.0,True,"['negotiations', 'spilled_milk', 'book_club', 'massage_therapist', 'sports_team', 'conference_swag', 'adoption', 'game_night']"
28,True,True,,True,,True,,True,True,True,True,,,,,,,,,,,,,,accepted_invitation,8.0,True,"['conference_swag', 'negotiations', 'book_club', 'massage_therapist', 'family_reunion', 'spilled_milk', 'adoption', 'hackday']"
29,,,,True,False,False,False,True,False,True,False,,,,,,,,,,,,,,rejected_at_initial_evaluation,3.0,False,"['negotiations', 'extracurricular_activities', 'spilled_milk', 'game_night', 'massage_therapist', 'conference_swag', 'hackday', 'family_reunion']"
30,True,,True,True,True,True,,True,,True,True,,,,,,,,,,,,,,accepted_invitation,8.0,True,"['conference_swag', 'extracurricular_activities', 'hackday', 'family_reunion', 'negotiations', 'adoption', 'business_meeting', 'spilled_milk']"
31,,,True,,False,True,True,True,True,,True,False,,,,,,,,,,,,,accepted_invitation,6.0,True,"['massage_therapist', 'hackday', 'business_meeting', 'family_reunion', 'sports_team', 'spilled_milk', 'extracurricular_activities', 'game_night']"
32,True,,,False,True,True,True,,True,,True,True,,,,,,,,,,,,,accepted_invitation,7.0,True,"['spilled_milk', 'game_night', 'conference_swag', 'extracurricular_activities', 'adoption', 'massage_therapist', 'family_reunion', 'sports_team']"
33,True,True,,True,,,True,True,True,True,,True,,,,,,,,,,,,,accepted_invitation,8.0,True,"['game_night', 'negotiations', 'hackday', 'sports_team', 'conference_swag', 'adoption', 'massage_therapist', 'book_club']"
34,,True,True,True,,True,True,,,True,True,True,,,,,,,,,,,,,accepted_invitation,8.0,True,"['sports_team', 'business_meeting', 'negotiations', 'book_club', 'spilled_milk', 'conference_swag', 'family_reunion', 'game_night']"
35,True,True,,True,,True,,,True,True,True,True,,,,,,,,,,,,,needs_invitation_response,8.0,True,"['family_reunion', 'spilled_milk', 'negotiations', 'massage_therapist', 'sports_team', 'adoption', 'conference_swag', 'book_club']"
36,,True,True,,True,,True,True,True,False,,True,,,,,,,,,,,,,rejected_at_logic_evaluation,7.0,True,"['extracurricular_activities', 'hackday', 'business_meeting', 'sports_team', 'negotiations', 'book_club', 'massage_therapist', 'game_night']"
37,True,False,,False,,True,,True,,False,True,False,231.269034264,1070.166129348,,144.992601579,,444.055545942,,269.944095064,,412.521662408,399.460916308,411.269195644,rejected_at_initial_evaluation,4.0,False,"['conference_swag', 'adoption', 'family_reunion', 'sports_team', 'book_club', 'spilled_milk', 'hackday', 'negotiations']"
38,,False,,False,False,False,,False,,False,False,False,,,,,,,,,,,,,rejected_at_initial_evaluation,0.0,False,"['hackday', 'negotiations', 'spilled_milk', 'book_club', 'conference_swag', 'family_reunion', 'extracurricular_activities', 'sports_team']"
39,,False,True,,False,True,True,,True,True,True,,,,,,,,,,,,,,accepted_invitation,6.0,True,"['business_meeting', 'game_night', 'negotiations', 'family_reunion', 'book_club', 'extracurricular_activities', 'spilled_milk', 'massage_therapist']"
40,True,True,True,False,,True,True,True,,,,True,,,,,,,,,,,,,rejected_at_interview,7.0,True,"['book_club', 'hackday', 'conference_swag', 'sports_team', 'family_reunion', 'game_night', 'business_meeting', 'adoption']"
41,True,True,,True,,True,,True,True,True,,True,,,,,,,,,,,,,accepted_invitation,8.0,True,"['negotiations', 'adoption', 'family_reunion', 'book_club', 'hackday', 'sports_team', 'conference_swag', 'massage_therapist']"
42,,True,True,True,,,True,,True,True,True,False,,,,,,,,,,,,,needs_to_schedule_interview,7.0,True,"['negotiations', 'game_night', 'spilled_milk', 'conference_swag', 'sports_team', 'book_club', 'massage_therapist', 'business_meeting']"
43,True,True,,,True,,True,True,True,True,,True,,,,,,,,,,,,,accepted_invitation,8.0,True,"['extracurricular_activities', 'massage_therapist', 'game_night', 'sports_team', 'book_club', 'negotiations', 'hackday', 'adoption']"
44,True,True,,True,,,,True,True,True,True,True,,,,,,,,,,,,,accepted_invitation,8.0,True,"['massage_therapist', 'hackday', 'adoption', 'negotiations', 'conference_swag', 'spilled_milk', 'sports_team', 'book_club']"
45,True,True,,True,True,True,,,,True,False,True,,,,,,,,,,,,,accepted_invitation,7.0,True,"['spilled_milk', 'sports_team', 'family_reunion', 'conference_swag', 'negotiations', 'adoption', 'extracurricular_activities', 'book_club']"
46,,True,True,True,False,True,True,,,False,True,,,,,,,,,,,,,,accepted_invitation,6.0,True,"['business_meeting', 'spilled_milk', 'extracurricular_activities', 'negotiations', 'book_club', 'family_reunion', 'conference_swag', 'game_night']"
47,,False,,True,False,,True,True,False,,False,True,,,,,,,,,,,,,accepted_invitation,4.0,False,"['book_club', 'game_night', 'hackday', 'conference_swag', 'extracurricular_activities', 'massage_therapist', 'spilled_milk', 'sports_team']"
48,True,,False,False,True,True,True,,True,,,True,,,,,,,,,,,,,accepted_invitation,6.0,True,"['business_meeting', 'extracurricular_activities', 'adoption', 'massage_therapist', 'sports_team', 'conference_swag', 'game_night', 'family_reunion']"
49,True,,True,True,,True,True,True,True,,,True,,,,,,,,,,,,,accepted_invitation,8.0,True,"['family_reunion', 'hackday', 'adoption', 'game_night', 'business_meeting', 'sports_team', 'conference_swag', 'massage_therapist']"
50,True,True,,False,,True,True,,True,True,,True,,,,,,,,,,,,,accepted_invitation,7.0,True,"['negotiations', 'conference_swag', 'family_reunion', 'book_club', 'massage_therapist', 'adoption', 'game_night', 'sports_team']"
51,True,,,False,True,True,,True,True,True,True,,,,,,,,,,,,,,accepted_invitation,7.0,True,"['family_reunion', 'hackday', 'massage_therapist', 'adoption', 'conference_swag', 'extracurricular_activities', 'spilled_milk', 'negotiations']"
52,,True,True,,False,True,True,True,True,True,,,,,,,,,,,,,,,accepted_invitation,7.0,True,"['book_club', 'game_night', 'hackday', 'family_reunion', 'business_meeting', 'extracurricular_activities', 'negotiations', 'massage_therapist']"
53,,True,,,True,True,True,True,True,,True,True,,,,,,,,,,,,,accepted_invitation,8.0,True,"['book_club', 'spilled_milk', 'massage_therapist', 'extracurricular_activities', 'sports_team', 'game_night', 'family_reunion', 'hackday']"
54,,True,True,,,True,,,,,True,True,,,,,,,,,,,,,accepted_invitation,5.0,True,"['sports_team', 'spilled_milk', 'book_club', 'business_meeting', 'family_reunion']"
55,True,True,True,,True,,False,,True,True,,True,,,,,,,,,,,,,accepted_invitation,7.0,True,"['book_club', 'business_meeting', 'sports_team', 'extracurricular_activities', 'negotiations', 'massage_therapist', 'adoption', 'game_night']"
56,True,True,True,True,False,,,,True,True,False,,,,,,,,,,,,,,rejected_at_logic_evaluation,6.0,True,"['negotiations', 'adoption', 'spilled_milk', 'business_meeting', 'conference_swag', 'massage_therapist', 'extracurricular_activities', 'book_club']"
57,,False,,False,,,,,,,,,,614.137620836,,188.181689862,,,,,,,,,pending,0.0,False,"['conference_swag', 'book_club', 'sports_team', 'adoption', 'negotiations', 'business_meeting', 'extracurricular_activities', 'spilled_milk']"
58,,False,False,,False,,,False,False,True,False,True,,,,,,,,,,,,,rejected_at_logic_evaluation,2.0,False,"['massage_therapist', 'hackday', 'extracurricular_activities', 'spilled_milk', 'negotiations', 'sports_team', 'business_meeting', 'book_club']"
59,True,True,True,,True,True,False,True,,True,,,,,,,,,,,,,,,rejected_at_interview,7.0,True,"['adoption', 'game_night', 'negotiations', 'business_meeting', 'hackday', 'extracurricular_activities', 'family_reunion', 'book_club']"
60,True,,,True,True,True,,,True,True,True,True,,,,,,,,,,,,,accepted_invitation,8.0,True,"['family_reunion', 'adoption', 'massage_therapist', 'conference_swag', 'sports_team', 'extracurricular_activities', 'negotiations', 'spilled_milk']"
61,True,True,True,True,,True,,True,,True,False,,,,,,,,,,,,,,accepted_invitation,7.0,True,"['negotiations', 'conference_swag', 'business_meeting', 'spilled_milk', 'hackday', 'family_reunion', 'book_club', 'adoption']"
62,True,False,,,False,True,False,,True,False,False,,,,,,,,,,,,,,rejected_at_initial_evaluation,3.0,False,"['massage_therapist', 'spilled_milk', 'adoption', 'extracurricular_activities', 'game_night', 'negotiations', 'family_reunion', 'book_club']"
63,,False,,True,False,True,,True,True,True,True,,,,,,,,,,,,,,rejected_at_logic_evaluation,6.0,True,"['conference_swag', 'book_club', 'massage_therapist', 'family_reunion', 'spilled_milk', 'hackday', 'extracurricular_activities', 'negotiations']"
64,True,True,,False,False,,True,,True,True,True,,,,,,,,,,,,,,rejected_at_interview,6.0,True,"['negotiations', 'massage_therapist', 'spilled_milk', 'conference_swag', 'game_night', 'book_club', 'adoption', 'extracurricular_activities']"
65,True,True,True,True,True,True,,,True,True,,,,,,,,,,,,,,,accepted_invitation,8.0,True,"['negotiations', 'adoption', 'massage_therapist', 'extracurricular_activities', 'book_club', 'family_reunion', 'conference_swag', 'business_meeting']"
66,True,False,False,False,,,,True,True,False,,False,,,,,,,,,,,,,rejected_at_initial_evaluation,3.0,False,"['sports_team', 'business_meeting', 'adoption', 'hackday', 'book_club', 'massage_therapist', 'negotiations', 'conference_swag']"
67,,True,True,True,True,True,True,True,,,,True,,,,,,,,,,,,,accepted_invitation,8.0,True,"['game_night', 'family_reunion', 'business_meeting', 'hackday', 'conference_swag', 'extracurricular_activities', 'sports_team', 'book_club']"
68,,,,,,,,,,,,,,,,,,,,,,,,,accepted_invitation,0.0,False,"['book_club', 'game_night', 'massage_therapist', 'extracurricular_activities', 'negotiations', 'adoption', 'family_reunion', 'hackday']"
69,True,True,,True,True,,True,True,True,,,True,,,,,,,,,,,,,accepted_invitation,8.0,True,"['extracurricular_activities', 'game_night', 'hackday', 'adoption', 'massage_therapist', 'book_club', 'conference_swag', 'sports_team']"
70,,,True,False,True,True,,True,True,,False,True,,,,,,,,,,,,,accepted_invitation,6.0,True,"['conference_swag', 'sports_team', 'family_reunion', 'extracurricular_activities', 'business_meeting', 'massage_therapist', 'spilled_milk', 'hackday']"
71,,,True,True,True,True,,,False,True,True,True,,,,,,,,,,,,,needs_to_schedule_interview,7.0,True,"['sports_team', 'massage_therapist', 'conference_swag', 'spilled_milk', 'negotiations', 'business_meeting', 'family_reunion', 'extracurricular_activities']"
72,True,True,True,True,,True,,,True,True,,True,,,,,,,,,,,,,accepted_invitation,8.0,True,"['business_meeting', 'book_club', 'adoption', 'massage_therapist', 'sports_team', 'conference_swag', 'family_reunion', 'negotiations']"
73,True,True,True,False,,False,,True,,True,True,,,,,,,,,,,,,,accepted_invitation,6.0,True,"['conference_swag', 'spilled_milk', 'book_club', 'business_meeting', 'negotiations', 'family_reunion', 'adoption', 'hackday']"
74,True,,,,True,True,True,,True,True,True,False,,,,,,,,,,,,,rejected_at_interview,7.0,True,"['massage_therapist', 'adoption', 'game_night', 'negotiations', 'extracurricular_activities', 'family_reunion', 'sports_team', 'spilled_milk']"
75,True,,True,True,True,,True,,True,True,True,,,,,,,,,,,,,,accepted_invitation,8.0,True,"['extracurricular_activities', 'conference_swag', 'massage_therapist', 'negotiations', 'business_meeting', 'adoption', 'game_night', 'spilled_milk']"
76,,,True,,True,True,True,True,True,True,True,,,,,,,,,,,,,,accepted_invitation,8.0,True,"['hackday', 'family_reunion', 'negotiations', 'extracurricular_activities', 'business_meeting', 'game_night', 'spilled_milk', 'massage_therapist']"
77,True,False,True,,False,,False,,,False,False,False,,,,,,,,,,,,,rejected_at_initial_evaluation,2.0,False,"['extracurricular_activities', 'sports_team', 'adoption', 'negotiations', 'business_meeting', 'book_club', 'game_night', 'spilled_milk']"
78,True,True,True,True,True,,True,,True,True,,,,,,,,,,,,,,,accepted_invitation,8.0,True,"['book_club', 'negotiations', 'adoption', 'business_meeting', 'game_night', 'massage_therapist', 'conference_swag', 'extracurricular_activities']"
79,True,True,,True,True,True,,,True,True,,True,,,,,,,,,,,,,accepted_invitation,8.0,True,"['adoption', 'massage_therapist', 'sports_team', 'book_club', 'family_reunion', 'negotiations', 'extracurricular_activities', 'conference_swag']"
80,True,,True,False,,False,True,,False,,False,True,,,,,,,,,,,,,rejected_at_initial_evaluation,4.0,False,"['massage_therapist', 'adoption', 'conference_swag', 'family_reunion', 'game_night', 'sports_team', 'spilled_milk', 'business_meeting']"
81,True,True,,True,,,True,,True,True,False,True,,,,,,,,,,,,,accepted_invitation,7.0,True,"['conference_swag', 'sports_team', 'negotiations', 'spilled_milk', 'game_night', 'adoption', 'massage_therapist', 'book_club']"
82,True,False,True,True,False,True,,True,,,,True,,,,,,,,,,,,,accepted_invitation,6.0,True,"['book_club', 'family_reunion', 'business_meeting', 'hackday', 'conference_swag', 'extracurricular_activities', 'adoption', 'sports_team']"
83,,False,True,True,True,,True,,True,True,,True,,,,,,,,,,,,,rejected_at_logic_evaluation,7.0,True,"['extracurricular_activities', 'business_meeting', 'conference_swag', 'book_club', 'massage_therapist', 'negotiations', 'game_night', 'sports_team']"
84,True,,True,True,,,True,True,,True,True,True,,,,,,,,,,,,,accepted_invitation,8.0,True,"['hackday', 'spilled_milk', 'adoption', 'negotiations', 'business_meeting', 'game_night', 'sports_team', 'conference_swag']"
85,False,True,,,False,True,True,,True,,True,False,,,,,,,,,,,,,rejected_at_logic_evaluation,5.0,False,"['massage_therapist', 'game_night', 'adoption', 'family_reunion', 'spilled_milk', 'extracurricular_activities', 'sports_team', 'book_club']"
86,True,True,,,,,True,True,True,True,False,False,,,,,,,,,,,,,accepted_invitation,6.0,True,"['adoption', 'game_night', 'spilled_milk', 'book_club', 'massage_therapist', 'sports_team', 'negotiations', 'hackday']"
87,True,True,True,,,,True,True,True,,True,True,,,,,,,,,,,,,accepted_invitation,8.0,True,"['sports_team', 'hackday', 'spilled_milk', 'adoption', 'massage_therapist', 'game_night', 'book_club', 'business_meeting']"
88,True,,True,True,True,True,,True,True,True,,,,,,,,,,,,,,,accepted_invitation,8.0,True,"['family_reunion', 'massage_therapist', 'hackday', 'negotiations', 'adoption', 'extracurricular_activities', 'conference_swag', 'business_meeting']"
89,True,,,False,True,True,,True,True,,False,True,,,,,,,,,,,,,rejected_at_initial_evaluation,6.0,True,"['spilled_milk', 'conference_swag', 'adoption', 'family_reunion', 'hackday', 'sports_team', 'extracurricular_activities', 'massage_therapist']"
90,,True,True,,True,True,True,,True,,True,True,,,,,,,,,,,,,accepted_invitation,8.0,True,"['massage_therapist', 'business_meeting', 'book_club', 'game_night', 'spilled_milk', 'family_reunion', 'sports_team', 'extracurricular_activities']"
91,True,True,,True,,True,True,,True,,True,True,,,,,,,,,,,,,accepted_invitation,8.0,True,"['massage_therapist', 'conference_swag', 'adoption', 'family_reunion', 'game_night', 'spilled_milk', 'sports_team', 'book_club']"
92,True,True,True,True,True,,True,,True,,True,,,,,,,,,,,,,,accepted_invitation,8.0,True,"['adoption', 'extracurricular_activities', 'conference_swag', 'game_night', 'book_club', 'business_meeting', 'spilled_milk', 'massage_therapist']"
93,,,True,True,,True,True,True,True,True,,True,,,,,,,,,,,,,accepted_invitation,8.0,True,"['hackday', 'conference_swag', 'negotiations', 'massage_therapist', 'sports_team', 'game_night', 'business_meeting', 'family_reunion']"
94,False,,True,True,True,,True,True,True,True,,,,,,,,,,,,,,,rejected_at_interview,7.0,True,"['adoption', 'extracurricular_activities', 'game_night', 'hackday', 'conference_swag', 'massage_therapist', 'business_meeting', 'negotiations']"
95,,True,True,,,True,True,True,True,True,True,,,,,,,,,,,,,,accepted_invitation,8.0,True,"['massage_therapist', 'spilled_milk', 'game_night', 'negotiations', 'family_reunion', 'book_club', 'business_meeting', 'hackday']"
96,True,,True,,True,True,,True,,True,True,True,,,,,,,,,,,,,accepted_invitation,8.0,True,"['extracurricular_activities', 'hackday', 'business_meeting', 'sports_team', 'adoption', 'negotiations', 'spilled_milk', 'family_reunion']"
97,,True,True,False,True,,True,True,True,True,,,,,,,,,,,,,,,rejected_at_interview,7.0,True,"['negotiations', 'game_night', 'business_meeting', 'extracurricular_activities', 'conference_swag', 'massage_therapist', 'hackday', 'book_club']"
98,True,True,True,,,,True,True,,True,True,True,,,,,,,,,,,,,declined_invitation,8.0,True,"['business_meeting', 'spilled_milk', 'sports_team', 'game_night', 'negotiations', 'hackday', 'book_club', 'adoption']"
99,True,True,,True,True,True,,,True,,True,True,,,,,,,,,,,,,accepted_invitation,8.0,True,"['adoption', 'massage_therapist', 'family_reunion', 'conference_swag', 'extracurricular_activities', 'book_club', 'sports_team', 'spilled_milk']"
100,,True,True,True,True,,,True,,True,True,True,,,,,,,,,,,,,accepted_invitation,8.0,True,"['book_club', 'extracurricular_activities', 'negotiations', 'hackday', 'business_meeting', 'conference_swag', 'spilled_milk', 'sports_team']"
101,,True,False,,,,True,True,True,False,False,False,,,,,,,,,,,,,rejected_at_initial_evaluation,4.0,False,"['business_meeting', 'negotiations', 'book_club', 'sports_team', 'game_night', 'spilled_milk', 'massage_therapist', 'hackday']"
102,True,True,True,True,True,True,,,,True,,True,,,,,,,,,,,,,rejected_at_logic_evaluation,8.0,True,"['extracurricular_activities', 'business_meeting', 'negotiations', 'book_club', 'family_reunion', 'conference_swag', 'adoption', 'sports_team']"
103,True,,True,True,,True,True,True,True,True,,,,,,,,,,,,,,,accepted_invitation,8.0,True,"['negotiations', 'game_night', 'business_meeting', 'massage_therapist', 'conference_swag', 'hackday', 'family_reunion', 'adoption']"
104,True,True,,True,,,True,True,True,True,,False,,,,,,,,,,,,,accepted_invitation,7.0,True,"['conference_swag', 'negotiations', 'hackday', 'adoption', 'book_club', 'massage_therapist', 'sports_team', 'game_night']"
105,,True,True,True,,True,,True,True,,True,True,,,,,,,,,,,,,accepted_invitation,8.0,True,"['conference_swag', 'family_reunion', 'hackday', 'massage_therapist', 'spilled_milk', 'sports_team', 'business_meeting', 'book_club']"
106,True,True,,,,True,True,True,True,True,True,,,,,,,,,,,,,,accepted_invitation,8.0,True,"['negotiations', 'family_reunion', 'game_night', 'hackday', 'book_club', 'massage_therapist', 'adoption', 'spilled_milk']"
107,True,,,False,True,True,True,True,,True,,True,,,,,,,,,,,,,accepted_invitation,7.0,True,"['conference_swag', 'sports_team', 'adoption', 'hackday', 'game_night', 'negotiations', 'family_reunion', 'extracurricular_activities']"
108,True,True,True,True,True,,True,,,True,,True,,,,,,,,,,,,,rejected_at_interview,8.0,True,"['sports_team', 'extracurricular_activities', 'book_club', 'adoption', 'game_night', 'business_meeting', 'negotiations', 'conference_swag']"
109,,,True,True,True,,True,True,True,,False,False,,,,,,,,,,,,,accepted_invitation,6.0,True,"['conference_swag', 'hackday', 'sports_team', 'spilled_milk', 'extracurricular_activities', 'massage_therapist', 'business_meeting', 'game_night']"
110,True,,False,True,,True,True,True,,,False,False,,,,,,,,,,,,,rejected_at_interview,5.0,True,"['adoption', 'business_meeting', 'family_reunion', 'hackday', 'conference_swag', 'game_night', 'spilled_milk', 'sports_team']"
111,True,True,,,,True,True,True,False,False,,True,,,,,,,,,,,,,accepted_invitation,6.0,True,"['game_night', 'negotiations', 'book_club', 'massage_therapist', 'hackday', 'sports_team', 'adoption', 'family_reunion']"
112,,True,True,,True,True,,True,False,,True,True,,411.580638024,237.461370233,,479.189619527,591.762872536,,699.549480979,572.385299252,,866.980243917,829.541421827,needs_to_schedule_interview,7.0,True,"['book_club', 'business_meeting', 'hackday', 'sports_team', 'extracurricular_activities', 'massage_therapist', 'family_reunion', 'spilled_milk']"
113,True,True,,,,,True,True,True,True,True,True,,,,,,,,,,,,,accepted_invitation,8.0,True,"['hackday', 'adoption', 'sports_team', 'game_night', 'massage_therapist', 'negotiations', 'book_club', 'spilled_milk']"
114,,True,,,True,True,True,,True,True,False,True,,,,,,,,,,,,,accepted_invitation,7.0,True,"['sports_team', 'negotiations', 'book_club', 'massage_therapist', 'family_reunion', 'game_night', 'extracurricular_activities', 'spilled_milk']"
115,True,True,True,,,,True,True,,True,True,True,,,,,,,,,,,,,accepted_invitation,8.0,True,"['game_night', 'spilled_milk', 'sports_team', 'book_club', 'business_meeting', 'adoption', 'negotiations', 'hackday']"
116,True,True,True,,True,,,True,True,True,,True,,,,,,,,,,,,,accepted_invitation,8.0,True,"['book_club', 'massage_therapist', 'sports_team', 'adoption', 'negotiations', 'hackday', 'extracurricular_activities', 'business_meeting']"
117,,True,True,True,True,True,,,True,,False,False,,,,,,,,,,,,,accepted_invitation,6.0,True,"['sports_team', 'conference_swag', 'spilled_milk', 'business_meeting', 'extracurricular_activities', 'massage_therapist', 'book_club', 'family_reunion']"
118,,True,,False,True,True,True,True,,True,,True,,,,,,,,,,,,,accepted_invitation,7.0,True,"['conference_swag', 'sports_team', 'extracurricular_activities', 'hackday', 'book_club', 'family_reunion', 'negotiations', 'game_night']"
119,True,,True,True,True,True,,,True,True,True,,,,,,,,,,,,,,accepted_invitation,8.0,True,"['conference_swag', 'massage_therapist', 'extracurricular_activities', 'spilled_milk', 'negotiations', 'adoption', 'business_meeting', 'family_reunion']"
